step,type,amount,wallet,city,oldbalanceOrg,newbalanceOrig,is_new_device,is_loc_mismatch,high_freq,user_age,time,risk_score,is_fraud
0,TRANSFER,1896,Easypaisa,Peshawar,103800,101904,False,False,False,29,2026-04-19 07:10:28.765674,2.3,0
0,TRANSFER,46311,JazzCash,Peshawar,148621,102310,True,True,False,16,2026-03-26 04:52:13.765674,88.0,1
0,CASH_OUT,10009,JazzCash,Quetta,165332,155323,False,False,False,34,2026-03-18 13:30:20.765674,12.0,0
0,TRANSFER,14646,JazzCash,Faisalabad,195995,181349,False,False,False,43,2026-03-18 19:26:38.765674,17.6,0
0,CASH_OUT,1043,Easypaisa,Faisalabad,60533,59490,False,False,False,30,2026-04-21 10:35:48.765674,1.3,0
0,PAYMENT,2131,JazzCash,Lahore,158084,155953,False,False,False,28,2026-04-25 20:36:26.765674,2.6,0
0,PAYMENT,4332,Easypaisa,Faisalabad,23977,19645,False,False,False,48,2026-05-04 20:05:55.765674,5.2,0
0,PAYMENT,7076,Easypaisa,Quetta,4350,-2726,False,False,False,20,2026-04-25 12:16:43.765674,8.5,0
0,CASH_IN,1401,JazzCash,Quetta,127122,128523,False,False,False,43,2026-03-27 15:49:30.765674,1.7,0
0,PAYMENT,10122,Easypaisa,Faisalabad,183173,173051,False,False,False,27,2026-04-01 18:54:44.765674,12.1,0
0,CASH_OUT,9414,JazzCash,Multan,16144,6730,False,False,False,20,2026-04-03 13:19:59.765674,11.3,0
0,CASH_OUT,11302,JazzCash,Peshawar,84180,72878,False,False,False,33,2026-04-12 21:15:16.765674,13.6,0
0,PAYMENT,10042,JazzCash,Peshawar,43389,33347,False,False,False,29,2026-04-18 07:12:48.765674,12.1,0
0,TRANSFER,11530,JazzCash,Multan,87691,76161,False,False,False,27,2026-03-16 10:15:23.765674,13.8,0
0,PAYMENT,6042,JazzCash,Quetta,195510,189468,False,False,False,40,2026-03-09 18:20:48.765674,7.3,0
0,CASH_OUT,62337,Easypaisa,Faisalabad,148924,86587,True,False,True,72,2026-04-28 03:03:49.765674,85.0,1
0,CASH_IN,7256,JazzCash,Peshawar,96610,103866,False,False,False,28,2026-03-23 19:46:25.765674,8.7,0
0,CASH_OUT,27794,JazzCash,Karachi,28817,1023,False,True,True,72,2026-05-01 04:53:58.765674,80.0,1
0,TRANSFER,10145,JazzCash,Quetta,15145,5000,False,False,False,43,2026-05-01 23:56:43.765674,12.2,0
0,CASH_IN,10240,Easypaisa,Peshawar,151985,162225,False,False,False,46,2026-03-17 17:10:06.765674,12.3,0
0,CASH_OUT,3218,Easypaisa,Peshawar,65289,62071,False,False,False,37,2026-04-14 15:13:32.765674,3.9,0
0,CASH_OUT,2217,JazzCash,Multan,27237,25020,False,False,False,29,2026-03-13 12:31:59.765674,2.7,0
0,TRANSFER,1549,Easypaisa,Lahore,108401,106852,False,False,False,34,2026-03-22 13:38:20.765674,1.9,0
0,TRANSFER,11960,JazzCash,Lahore,63943,51983,False,False,False,40,2026-03-09 16:06:24.765674,14.4,0
1,PAYMENT,3653,JazzCash,Lahore,55116,51463,False,False,False,44,2026-04-17 17:09:07.765674,4.4,0
1,CASH_IN,2419,Easypaisa,Quetta,8561,10980,False,False,False,46,2026-04-30 07:51:27.765674,2.9,0
1,PAYMENT,294,JazzCash,Karachi,82728,82434,False,False,False,30,2026-03-09 16:07:11.765674,0.4,0
1,TRANSFER,3817,JazzCash,Quetta,79851,76034,False,False,False,20,2026-03-21 20:40:15.765674,4.6,0
1,PAYMENT,8704,Easypaisa,Peshawar,40653,31949,False,False,False,48,2026-03-15 20:15:53.765674,10.4,0
1,PAYMENT,13576,JazzCash,Multan,146268,132692,False,False,False,37,2026-04-28 21:59:44.765674,16.3,0
1,PAYMENT,3310,JazzCash,Multan,16941,13631,False,False,False,22,2026-04-04 10:03:08.765674,4.0,0
1,CASH_IN,3091,Easypaisa,Peshawar,72585,75676,False,False,False,43,2026-04-01 12:17:46.765674,3.7,0
1,CASH_OUT,3904,Easypaisa,Quetta,81378,77474,False,False,False,43,2026-04-02 22:15:39.765674,4.7,0
1,CASH_OUT,3911,Easypaisa,Lahore,124431,120520,False,False,False,45,2026-04-11 22:21:12.765674,4.7,0
1,PAYMENT,12485,Easypaisa,Faisalabad,51997,39512,False,False,False,47,2026-03-22 16:16:19.765674,15.0,0
1,PAYMENT,10240,JazzCash,Peshawar,57267,47027,False,False,False,30,2026-03-23 07:46:56.765674,12.3,0
1,CASH_OUT,9603,JazzCash,Karachi,149377,139774,False,False,False,28,2026-04-23 20:38:21.765674,11.5,0
1,CASH_OUT,8921,Easypaisa,Quetta,28323,19402,False,False,False,31,2026-04-16 12:15:09.765674,10.7,0
1,PAYMENT,3719,JazzCash,Multan,174905,171186,False,False,False,43,2026-04-27 11:23:11.765674,4.5,0
1,TRANSFER,95920,JazzCash,Multan,120035,24115,True,True,True,16,2026-04-28 02:41:22.765674,100.0,1
